,번호,정답,난이도,배점,정답률,선지1,선지2,선지3,선지4,선지5,시험과목,시험일,시험구분
4025,6,3,하,3,91%,3%,2%,91%,2%,2%,수학(가),2017.09.06,모의평가
4026,7,5,하,3,94%,2%,2%,1%,1%,94%,수학(가),2017.09.06,모의평가
4027,8,1,하,3,93%,93%,2%,3%,1%,1%,수학(가),2017.09.06,모의평가
4028,9,4,하,3,93%,2%,1%,2%,93%,1%,수학(가),2017.09.06,모의평가
4029,10,2,하,3,92%,2%,92%,2%,3%,1%,수학(가),2017.09.06,모의평가
4030,11,3,하,3,93%,2%,2%,93%,1%,2%,수학(가),2017.09.06,모의평가
4031,12,3,하,3,91%,3%,3%,91%,2%,2%,수학(가),2017.09.06,모의평가
4032,13,1,중하,3,88%,88%,6%,3%,2%,1%,수학(가),2017.09.06,모의평가
4033,14,2,중,4,70%,19%,70%,3%,4%,3%,수학(가),2017.09.06,모의평가
4034,15,4,중하,4,83%,8%,5%,3%,83%,2%,수학(가),2017.09.06,모의평가
4035,16,3,중,4,75%,6%,9%,75%,5%,5%,수학(가),2017.09.06,모의평가
4036,17,4,중,4,76%,5%,8%,6%,76%,6%,수학(가),2017.09.06,모의평가
4037,18,1,중,4,78%,78%,8%,5%,4%,5%,수학(가),2017.09.06,모의평가
4038,19,5,중,4,79%,4%,3%,9%,5%,79%,수학(가),2017.09.06,모의평가
4039,20,1,중상,4,55%,55%,20%,6%,7%,12%,수학(가),2017.09.06,모의평가
4040,21,2,상,4,43%,14%,43%,14%,10%,19%,수학(가),2017.09.06,모의평가
4041,22,210,하,3,90%,10% (주관식),,,,,수학(가),2017.09.06,모의평가
4042,23,1,하,3,92%,8% (주관식),,,,,수학(가),2017.09.06,모의평가
4043,24,4,하,3,90%,10% (주관식),,,,,수학(가),2017.09.06,모의평가
4044,25,12,하,3,91%,9% (주관식),,,,,수학(가),2017.09.06,모의평가
4045,26,25,중,4,70%,30% (주관식),,,,,수학(가),2017.09.06,모의평가
4046,27,29,중,4,63%,37% (주관식),,,,,수학(가),2017.09.06,모의평가
4047,28,50,중,4,74%,26% (주관식),,,,,수학(가),2017.09.06,모의평가
4048,29,27,최상,4,19%,81% (주관식),,,,,수학(가),2017.09.06,모의평가
4049,30,6,최상,4,7%,93% (주관식),,,,,수학(가),2017.09.06,모의평가
4050,1,3,중하,2,89%,5%,4%,89%,1%,1%,수학(나),2017.09.06,모의평가
4051,2,1,하,2,94%,94%,2%,2%,1%,1%,수학(나),2017.09.06,모의평가
4052,3,3,하,2,94%,2%,2%,94%,2%,1%,수학(나),2017.09.06,모의평가
4053,4,5,하,3,91%,2%,2%,2%,3%,91%,수학(나),2017.09.06,모의평가
4054,5,4,중,3,76%,2%,2%,4%,76%,15%,수학(나),2017.09.06,모의평가
4055,6,4,하,3,91%,2%,2%,3%,91%,2%,수학(나),2017.09.06,모의평가
4056,7,2,하,3,90%,3%,90%,2%,3%,2%,수학(나),2017.09.06,모의평가
4057,8,2,중하,3,84%,3%,84%,8%,3%,2%,수학(나),2017.09.06,모의평가
4058,9,5,중하,3,82%,4%,3%,8%,3%,82%,수학(나),2017.09.06,모의평가
4059,10,5,중하,3,87%,3%,3%,3%,4%,87%,수학(나),2017.09.06,모의평가
4060,11,1,중하,3,88%,88%,3%,4%,3%,2%,수학(나),2017.09.06,모의평가
4061,12,2,중하,3,83%,6%,83%,5%,4%,2%,수학(나),2017.09.06,모의평가
4062,13,4,중,3,74%,5%,14%,5%,74%,3%,수학(나),2017.09.06,모의평가
4063,14,3,중하,4,80%,5%,6%,80%,6%,3%,수학(나),2017.09.06,모의평가
4064,15,2,중하,4,82%,4%,82%,5%,7%,2%,수학(나),2017.09.06,모의평가
4065,16,4,중하,4,81%,5%,6%,6%,81%,3%,수학(나),2017.09.06,모의평가
4066,17,5,중,4,69%,9%,6%,8%,9%,69%,수학(나),2017.09.06,모의평가
4067,18,3,중상,4,56%,19%,6%,56%,14%,4%,수학(나),2017.09.06,모의평가
4068,19,1,중상,4,57%,57%,9%,9%,17%,7%,수학(나),2017.09.06,모의평가
4069,20,3,상,4,37%,8%,5%,37%,10%,40%,수학(나),2017.09.06,모의평가
4070,21,2,상,4,35%,23%,35%,14%,20%,9%,수학(나),2017.09.06,모의평가
4071,22,210,중하,3,86%,14% (주관식),,,,,수학(나),2017.09.06,모의평가
4072,23,4,중하,3,88%,12% (주관식),,,,,수학(나),2017.09.06,모의평가
4073,24,3,중하,3,87%,13% (주관식),,,,,수학(나),2017.09.06,모의평가
4074,25,20,중하,3,85%,15% (주관식),,,,,수학(나),2017.09.06,모의평가
4075,26,8,중,4,75%,25% (주관식),,,,,수학(나),2017.09.06,모의평가
4076,27,25,중,4,60%,40% (주관식),,,,,수학(나),2017.09.06,모의평가
4077,28,28,상,4,42%,58% (주관식),,,,,수학(나),2017.09.06,모의평가
4078,29,10,상,4,39%,61% (주관식),,,,,수학(나),2017.09.06,모의평가
4079,30,200,최상,4,6%,94% (주관식),,,,,수학(나),2017.09.06,모의평가
4080,1,5,하,2,91%,4%,2%,2%,2%,91%,수학(가),2017.07.12,학력평가
4081,2,4,하,2,91%,2%,4%,2%,91%,1%,수학(가),2017.07.12,학력평가
4082,3,2,하,2,92%,2%,92%,3%,1%,1%,수학(가),2017.07.12,학력평가
4083,4,3,하,3,92%,3%,1%,92%,3%,1%,수학(가),2017.07.12,학력평가
4084,5,2,하,3,91%,3%,91%,3%,2%,2%,수학(가),2017.07.12,학력평가
4085,6,1,중하,3,88%,88%,2%,2%,7%,1%,수학(가),2017.07.12,학력평가
4086,7,5,하,3,91%,3%,2%,2%,2%,91%,수학(가),2017.07.12,학력평가
4087,8,4,중하,3,89%,6%,2%,3%,89%,1%,수학(가),2017.07.12,학력평가
4088,9,3,하,3,90%,3%,3%,90%,3%,2%,수학(가),2017.07.12,학력평가
4089,10,2,하,3,91%,3%,91%,2%,2%,2%,수학(가),2017.07.12,학력평가
4090,11,1,중하,3,87%,87%,5%,3%,2%,2%,수학(가),2017.07.12,학력평가
4091,12,4,중하,3,89%,4%,2%,4%,89%,1%,수학(가),2017.07.12,학력평가
4092,13,5,중하,3,86%,3%,5%,3%,2%,86%,수학(가),2017.07.12,학력평가
4093,14,3,중하,4,84%,4%,3%,84%,5%,3%,수학(가),2017.07.12,학력평가
4094,15,1,중하,4,86%,86%,5%,4%,3%,2%,수학(가),2017.07.12,학력평가
4095,16,1,중하,4,85%,85%,4%,3%,6%,2%,수학(가),2017.07.12,학력평가
4096,17,3,중,4,79%,8%,5%,79%,6%,2%,수학(가),2017.07.12,학력평가
4097,18,2,중하,4,80%,5%,80%,5%,7%,3%,수학(가),2017.07.12,학력평가
4098,19,5,중,4,75%,9%,3%,10%,3%,75%,수학(가),2017.07.12,학력평가
4099,20,4,중하,4,80%,4%,5%,6%,80%,5%,수학(가),2017.07.12,학력평가
4100,21,1,중,4,60%,60%,8%,12%,10%,11%,수학(가),2017.07.12,학력평가
4101,22,7,중하,3,88%,12% (주관식),,,,,수학(가),2017.07.12,학력평가
4102,23,5,중하,3,88%,12% (주관식),,,,,수학(가),2017.07.12,학력평가
4103,24,13,중하,3,88%,12% (주관식),,,,,수학(가),2017.07.12,학력평가
4104,25,4,중하,3,85%,15% (주관식),,,,,수학(가),2017.07.12,학력평가
4105,26,150,중상,4,53%,47% (주관식),,,,,수학(가),2017.07.12,학력평가
4106,27,12,중,4,77%,23% (주관식),,,,,수학(가),2017.07.12,학력평가
4107,28,32,중,4,74%,26% (주관식),,,,,수학(가),2017.07.12,학력평가
4108,29,128,최상,4,19%,81% (주관식),,,,,수학(가),2017.07.12,학력평가
4109,30,71,최상,4,12%,88% (주관식),,,,,수학(가),2017.07.12,학력평가
4110,1,3,하,2,93%,3%,1%,93%,1%,1%,수학(나),2017.07.12,학력평가
4111,2,2,하,2,92%,2%,92%,3%,2%,1%,수학(나),2017.07.12,학력평가
4112,3,5,하,2,92%,2%,2%,2%,2%,92%,수학(나),2017.07.12,학력평가
4113,4,4,하,3,93%,2%,2%,2%,93%,1%,수학(나),2017.07.12,학력평가
4114,5,3,하,3,91%,3%,2%,91%,2%,2%,수학(나),2017.07.12,학력평가
4115,6,1,하,3,93%,93%,2%,3%,1%,1%,수학(나),2017.07.12,학력평가
4116,7,4,하,3,92%,2%,2%,2%,92%,1%,수학(나),2017.07.12,학력평가
4117,8,4,중하,3,84%,2%,4%,6%,84%,3%,수학(나),2017.07.12,학력평가
4118,9,5,중하,3,86%,3%,3%,4%,3%,86%,수학(나),2017.07.12,학력평가
4119,10,1,중하,3,86%,86%,5%,5%,2%,2%,수학(나),2017.07.12,학력평가
4120,11,2,중하,3,86%,6%,86%,3%,3%,1%,수학(나),2017.07.12,학력평가
4121,12,3,하,3,91%,2%,3%,91%,2%,2%,수학(나),2017.07.12,학력평가
4122,13,2,중하,3,85%,4%,85%,4%,4%,3%,수학(나),2017.07.12,학력평가
4123,14,5,중하,4,84%,2%,2%,8%,3%,84%,수학(나),2017.07.12,학력평가
4124,15,4,중하,4,83%,5%,4%,4%,83%,4%,수학(나),2017.07.12,학력평가
4125,16,3,중하,4,83%,5%,4%,83%,4%,3%,수학(나),2017.07.12,학력평가
4126,17,1,중,4,70%,70%,7%,8%,8%,6%,수학(나),2017.07.12,학력평가
4127,18,1,중,4,68%,68%,10%,6%,8%,8%,수학(나),2017.07.12,학력평가
4128,19,2,중,4,65%,9%,65%,8%,11%,7%,수학(나),2017.07.12,학력평가
4129,20,5,중,4,66%,8%,4%,16%,6%,66%,수학(나),2017.07.12,학력평가
4130,21,5,상,4,39%,16%,19%,13%,13%,39%,수학(나),2017.07.12,학력평가
4131,22,32,중하,3,88%,12% (주관식),,,,,수학(나),2017.07.12,학력평가
4132,23,24,중하,3,85%,15% (주관식),,,,,수학(나),2017.07.12,학력평가
4133,24,6,중하,3,86%,14% (주관식),,,,,수학(나),2017.07.12,학력평가
4134,25,17,중,3,79%,21% (주관식),,,,,수학(나),2017.07.12,학력평가
4135,26,15,중,4,62%,38% (주관식),,,,,수학(나),2017.07.12,학력평가
4136,27,56,중상,4,53%,47% (주관식),,,,,수학(나),2017.07.12,학력평가
4137,28,80,최상,4,26%,74% (주관식),,,,,수학(나),2017.07.12,학력평가
4138,29,50,최상,4,26%,74% (주관식),,,,,수학(나),2017.07.12,학력평가
4139,30,9,최상,4,11%,89% (주관식),,,,,수학(나),2017.07.12,학력평가
4140,1,4,중하,2,89%,4%,4%,2%,89%,1%,수학(가),2017.06.01,모의평가
4141,2,5,중하,2,89%,3%,3%,3%,2%,89%,수학(가),2017.06.01,모의평가
4142,3,3,하,2,93%,3%,2%,93%,2%,1%,수학(가),2017.06.01,모의평가
4143,4,1,중하,3,89%,89%,5%,2%,3%,2%,수학(가),2017.06.01,모의평가
4144,5,4,하,3,91%,3%,2%,2%,91%,2%,수학(가),2017.06.01,모의평가
4145,6,4,하,3,90%,4%,3%,2%,90%,1%,수학(가),2017.06.01,모의평가
4146,7,2,하,3,91%,3%,91%,2%,2%,2%,수학(가),2017.06.01,모의평가
4147,8,2,중,3,79%,13%,79%,4%,3%,1%,수학(가),2017.06.01,모의평가
4148,9,1,중하,3,88%,88%,4%,3%,3%,2%,수학(가),2017.06.01,모의평가
4149,10,5,하,3,90%,3%,2%,2%,2%,90%,수학(가),2017.06.01,모의평가
4150,11,5,중하,3,86%,4%,3%,3%,3%,86%,수학(가),2017.06.01,모의평가
4151,12,2,중하,3,88%,4%,88%,3%,3%,2%,수학(가),2017.06.01,모의평가
4152,13,3,중하,3,89%,3%,3%,89%,2%,2%,수학(가),2017.06.01,모의평가
4153,14,3,중하,4,85%,5%,3%,85%,4%,4%,수학(가),2017.06.01,모의평가
4154,15,5,중,4,78%,5%,6%,5%,5%,78%,수학(가),2017.06.01,모의평가
4155,16,4,중,4,65%,8%,9%,7%,65%,11%,수학(가),2017.06.01,모의평가
4156,17,1,중하,4,80%,80%,6%,5%,6%,3%,수학(가),2017.06.01,모의평가
4157,18,2,중상,4,57%,12%,57%,15%,13%,3%,수학(가),2017.06.01,모의평가
4158,19,1,중,4,77%,77%,6%,7%,7%,3%,수학(가),2017.06.01,모의평가
4159,20,3,중,4,60%,8%,14%,60%,11%,7%,수학(가),2017.06.01,모의평가
4160,21,4,상,4,37%,11%,22%,20%,37%,10%,수학(가),2017.06.01,모의평가
4161,22,15,중하,3,89%,11% (주관식),,,,,수학(가),2017.06.01,모의평가
4162,23,2,중하,3,85%,15% (주관식),,,,,수학(가),2017.06.01,모의평가
4163,24,4,중하,3,86%,14% (주관식),,,,,수학(가),2017.06.01,모의평가
4164,25,52,중하,3,81%,19% (주관식),,,,,수학(가),2017.06.01,모의평가
4165,26,34,중상,4,52%,48% (주관식),,,,,수학(가),2017.06.01,모의평가
4166,27,45,상,4,49%,51% (주관식),,,,,수학(가),2017.06.01,모의평가
4167,28,20,상,4,45%,55% (주관식),,,,,수학(가),2017.06.01,모의평가
4168,29,7,최상,4,15%,85% (주관식),,,,,수학(가),2017.06.01,모의평가
4169,30,16,최상,4,9%,91% (주관식),,,,,수학(가),2017.06.01,모의평가
4170,1,3,하,2,90%,5%,2%,90%,2%,1%,수학(나),2017.06.01,모의평가
4171,2,4,하,2,91%,2%,3%,2%,91%,2%,수학(나),2017.06.01,모의평가
4172,3,2,중하,2,88%,3%,88%,4%,3%,1%,수학(나),2017.06.01,모의평가
4173,4,3,하,3,90%,3%,2%,90%,3%,2%,수학(나),2017.06.01,모의평가
4174,5,1,중하,3,81%,81%,8%,3%,5%,3%,수학(나),2017.06.01,모의평가
4175,6,1,중하,3,88%,88%,3%,3%,3%,3%,수학(나),2017.06.01,모의평가
4176,7,5,중하,3,85%,5%,4%,4%,3%,85%,수학(나),2017.06.01,모의평가
4177,8,2,중하,3,87%,4%,87%,4%,3%,2%,수학(나),2017.06.01,모의평가
4178,9,5,중하,3,82%,3%,4%,5%,5%,82%,수학(나),2017.06.01,모의평가
4179,10,3,중하,3,82%,5%,4%,82%,4%,5%,수학(나),2017.06.01,모의평가
4180,11,4,중하,3,88%,4%,3%,3%,88%,2%,수학(나),2017.06.01,모의평가
4181,12,2,중하,3,86%,3%,86%,6%,3%,2%,수학(나),2017.06.01,모의평가
4182,13,5,중하,3,80%,4%,4%,7%,5%,80%,수학(나),2017.06.01,모의평가
4183,14,4,중하,4,81%,4%,3%,5%,81%,6%,수학(나),2017.06.01,모의평가
4184,15,2,중하,4,82%,6%,82%,4%,4%,4%,수학(나),2017.06.01,모의평가
4185,16,5,중,4,76%,7%,5%,7%,5%,76%,수학(나),2017.06.01,모의평가
4186,17,4,중,4,77%,6%,8%,6%,77%,4%,수학(나),2017.06.01,모의평가
4187,18,1,중,4,65%,65%,9%,10%,8%,9%,수학(나),2017.06.01,모의평가
4188,19,1,중,4,61%,61%,8%,13%,12%,5%,수학(나),2017.06.01,모의평가
4189,20,3,중,4,61%,12%,8%,61%,11%,7%,수학(나),2017.06.01,모의평가
4190,21,1,최상,4,28%,28%,18%,25%,18%,11%,수학(나),2017.06.01,모의평가
4191,22,15,중하,3,83%,17% (주관식),,,,,수학(나),2017.06.01,모의평가
4192,23,35,중하,3,81%,19% (주관식),,,,,수학(나),2017.06.01,모의평가
4193,24,8,중,3,79%,21% (주관식),,,,,수학(나),2017.06.01,모의평가
4194,25,3,중,3,78%,22% (주관식),,,,,수학(나),2017.06.01,모의평가
4195,26,19,중,4,74%,26% (주관식),,,,,수학(나),2017.06.01,모의평가
4196,27,6,중상,4,50%,50% (주관식),,,,,수학(나),2017.06.01,모의평가
4197,28,43,상,4,47%,53% (주관식),,,,,수학(나),2017.06.01,모의평가
4198,29,13,상,4,36%,64% (주관식),,,,,수학(나),2017.06.01,모의평가
4199,30,243,최상,4,8%,92% (주관식),,,,,수학(나),2017.06.01,모의평가
4200,1,4,하,2,92%,3%,2%,2%,92%,1%,수학(가),2017.04.12,학력평가
4201,2,3,하,2,93%,2%,3%,93%,1%,1%,수학(가),2017.04.12,학력평가
4202,3,3,하,2,91%,2%,3%,91%,2%,1%,수학(가),2017.04.12,학력평가
4203,4,2,중하,3,88%,3%,88%,5%,3%,1%,수학(가),2017.04.12,학력평가
4204,5,1,하,3,92%,92%,2%,3%,1%,2%,수학(가),2017.04.12,학력평가
4205,6,5,하,3,92%,3%,2%,2%,2%,92%,수학(가),2017.04.12,학력평가
4206,7,3,중하,3,84%,3%,9%,84%,2%,2%,수학(가),2017.04.12,학력평가
4207,8,1,중하,3,89%,89%,2%,4%,4%,2%,수학(가),2017.04.12,학력평가
4208,9,4,중하,3,83%,4%,9%,3%,83%,1%,수학(가),2017.04.12,학력평가
4209,10,5,중하,3,88%,3%,3%,2%,4%,88%,수학(가),2017.04.12,학력평가
4210,11,3,중하,3,89%,3%,4%,89%,2%,2%,수학(가),2017.04.12,학력평가
4211,12,2,중하,3,81%,10%,81%,3%,2%,3%,수학(가),2017.04.12,학력평가
4212,13,4,하,3,91%,3%,2%,2%,91%,2%,수학(가),2017.04.12,학력평가
4213,14,4,하,4,91%,3%,2%,2%,91%,1%,수학(가),2017.04.12,학력평가
4214,15,2,중하,4,89%,3%,89%,4%,2%,2%,수학(가),2017.04.12,학력평가
4215,16,3,중하,4,85%,4%,4%,85%,4%,3%,수학(가),2017.04.12,학력평가
4216,17,1,중,4,79%,79%,11%,4%,3%,2%,수학(가),2017.04.12,학력평가
4217,18,5,중,4,76%,5%,6%,6%,7%,76%,수학(가),2017.04.12,학력평가
4218,19,1,중하,4,85%,85%,3%,5%,3%,3%,수학(가),2017.04.12,학력평가
4219,20,5,중상,4,55%,7%,26%,9%,4%,55%,수학(가),2017.04.12,학력평가
4220,21,2,중상,4,53%,9%,53%,13%,13%,12%,수학(가),2017.04.12,학력평가
4221,22,25,중하,3,83%,17% (주관식),,,,,수학(가),2017.04.12,학력평가
4222,23,54,중하,3,82%,18% (주관식),,,,,수학(가),2017.04.12,학력평가
4223,24,6,중하,3,86%,14% (주관식),,,,,수학(가),2017.04.12,학력평가
4224,25,13,중하,3,84%,16% (주관식),,,,,수학(가),2017.04.12,학력평가
4225,26,35,중,4,65%,35% (주관식),,,,,수학(가),2017.04.12,학력평가
4226,27,7,중,4,75%,25% (주관식),,,,,수학(가),2017.04.12,학력평가
4227,28,180,중,4,69%,31% (주관식),,,,,수학(가),2017.04.12,학력평가
4228,29,16,상,4,34%,66% (주관식),,,,,수학(가),2017.04.12,학력평가
4229,30,50,최상,4,19%,81% (주관식),,,,,수학(가),2017.04.12,학력평가
4230,1,2,하,2,90%,3%,90%,2%,3%,2%,수학(나),2017.04.12,학력평가
4231,2,3,하,2,94%,2%,2%,94%,1%,1%,수학(나),2017.04.12,학력평가
4232,3,3,하,2,94%,2%,2%,94%,2%,1%,수학(나),2017.04.12,학력평가
4233,4,4,하,3,91%,3%,2%,3%,91%,1%,수학(나),2017.04.12,학력평가
4234,5,5,하,3,91%,2%,2%,3%,2%,91%,수학(나),2017.04.12,학력평가
4235,6,1,하,3,91%,91%,2%,3%,2%,2%,수학(나),2017.04.12,학력평가
4236,7,2,중하,3,84%,6%,84%,7%,1%,1%,수학(나),2017.04.12,학력평가
4237,8,5,중하,3,80%,4%,4%,7%,6%,80%,수학(나),2017.04.12,학력평가
4238,9,1,중하,3,89%,89%,2%,4%,3%,2%,수학(나),2017.04.12,학력평가
4239,10,4,하,3,90%,3%,3%,2%,90%,2%,수학(나),2017.04.12,학력평가
4240,11,3,중하,3,80%,4%,10%,80%,3%,3%,수학(나),2017.04.12,학력평가
4241,12,5,중하,3,88%,3%,4%,2%,2%,88%,수학(나),2017.04.12,학력평가
4242,13,1,중,3,69%,69%,8%,7%,14%,3%,수학(나),2017.04.12,학력평가
4243,14,4,중하,4,81%,3%,4%,4%,81%,7%,수학(나),2017.04.12,학력평가
4244,15,3,중하,4,84%,5%,3%,84%,5%,3%,수학(나),2017.04.12,학력평가
4245,16,2,중,4,70%,5%,70%,18%,4%,2%,수학(나),2017.04.12,학력평가
4246,17,1,중,4,72%,72%,9%,7%,9%,3%,수학(나),2017.04.12,학력평가
4247,18,2,중,4,78%,5%,78%,5%,6%,5%,수학(나),2017.04.12,학력평가
4248,19,5,중,4,76%,4%,7%,8%,5%,76%,수학(나),2017.04.12,학력평가
4249,20,4,중,4,74%,6%,7%,7%,74%,6%,수학(나),2017.04.12,학력평가
4250,21,2,중상,4,53%,11%,53%,13%,15%,8%,수학(나),2017.04.12,학력평가
4251,22,7,중하,3,88%,12% (주관식),,,,,수학(나),2017.04.12,학력평가
4252,23,12,중하,3,89%,11% (주관식),,,,,수학(나),2017.04.12,학력평가
4253,24,9,중,3,70%,30% (주관식),,,,,수학(나),2017.04.12,학력평가
4254,25,92,중하,3,81%,19% (주관식),,,,,수학(나),2017.04.12,학력평가
4255,26,3,중,4,68%,32% (주관식),,,,,수학(나),2017.04.12,학력평가
4256,27,120,중상,4,58%,42% (주관식),,,,,수학(나),2017.04.12,학력평가
4257,28,5,중,4,70%,30% (주관식),,,,,수학(나),2017.04.12,학력평가
4258,29,19,상,4,32%,68% (주관식),,,,,수학(나),2017.04.12,학력평가
4259,30,760,최상,4,18%,82% (주관식),,,,,수학(나),2017.04.12,학력평가
4260,1,3,중하,2,86%,6%,3%,86%,4%,1%,수학(가),2017.03.09,학력평가
4261,2,5,중하,2,89%,3%,4%,3%,2%,89%,수학(가),2017.03.09,학력평가
4262,3,2,중하,2,89%,4%,89%,4%,2%,1%,수학(가),2017.03.09,학력평가
4263,4,4,중하,3,87%,4%,3%,4%,87%,2%,수학(가),2017.03.09,학력평가
4264,5,4,중하,3,87%,5%,3%,2%,87%,3%,수학(가),2017.03.09,학력평가
4265,6,5,중하,3,85%,5%,3%,4%,3%,85%,수학(가),2017.03.09,학력평가
4266,7,1,중하,3,89%,89%,4%,3%,2%,2%,수학(가),2017.03.09,학력평가
4267,8,2,중하,3,87%,5%,87%,4%,2%,2%,수학(가),2017.03.09,학력평가
4268,9,2,중하,3,80%,7%,80%,6%,5%,2%,수학(가),2017.03.09,학력평가
4269,10,5,중하,3,86%,5%,4%,3%,3%,86%,수학(가),2017.03.09,학력평가
4270,11,1,중하,3,88%,88%,3%,4%,3%,2%,수학(가),2017.03.09,학력평가
4271,12,3,중하,3,86%,5%,4%,86%,3%,2%,수학(가),2017.03.09,학력평가
4272,13,2,중하,3,82%,6%,82%,5%,4%,2%,수학(가),2017.03.09,학력평가
4273,14,1,상,4,48%,48%,23%,10%,9%,10%,수학(가),2017.03.09,학력평가
4274,15,2,중,4,72%,8%,72%,7%,5%,8%,수학(가),2017.03.09,학력평가
4275,16,4,중,4,77%,9%,4%,7%,77%,3%,수학(가),2017.03.09,학력평가
4276,17,1,중,4,75%,75%,10%,7%,6%,3%,수학(가),2017.03.09,학력평가
4277,18,3,중상,4,56%,11%,17%,56%,8%,8%,수학(가),2017.03.09,학력평가
4278,19,5,중,4,61%,6%,7%,17%,9%,61%,수학(가),2017.03.09,학력평가
4279,20,3,중상,4,57%,9%,11%,57%,12%,11%,수학(가),2017.03.09,학력평가
4280,21,4,중상,4,52%,13%,11%,14%,52%,10%,수학(가),2017.03.09,학력평가
4281,22,3,중하,3,83%,17% (주관식),,,,,수학(가),2017.03.09,학력평가
4282,23,20,중,3,78%,22% (주관식),,,,,수학(가),2017.03.09,학력평가
4283,24,60,중,3,79%,21% (주관식),,,,,수학(가),2017.03.09,학력평가
4284,25,27,중,3,77%,23% (주관식),,,,,수학(가),2017.03.09,학력평가
4285,26,6,중,4,75%,25% (주관식),,,,,수학(가),2017.03.09,학력평가
4286,27,8,중,4,64%,36% (주관식),,,,,수학(가),2017.03.09,학력평가
4287,28,24,상,4,45%,55% (주관식),,,,,수학(가),2017.03.09,학력평가
4288,29,528,최상,4,18%,82% (주관식),,,,,수학(가),2017.03.09,학력평가
4289,30,90,최상,4,12%,88% (주관식),,,,,수학(가),2017.03.09,학력평가
4290,1,3,중하,2,88%,5%,4%,88%,1%,1%,수학(나),2017.03.09,학력평가
4291,2,3,중하,2,89%,3%,5%,89%,2%,2%,수학(나),2017.03.09,학력평가
4292,3,2,하,2,90%,3%,90%,4%,2%,1%,수학(나),2017.03.09,학력평가
4293,4,5,중하,3,86%,4%,2%,4%,4%,86%,수학(나),2017.03.09,학력평가
4294,5,5,중하,3,84%,4%,3%,4%,5%,84%,수학(나),2017.03.09,학력평가
4295,6,4,중하,3,85%,4%,5%,3%,85%,3%,수학(나),2017.03.09,학력평가
4296,7,2,중하,3,87%,5%,87%,4%,3%,2%,수학(나),2017.03.09,학력평가
4297,8,1,중,3,76%,76%,6%,11%,5%,2%,수학(나),2017.03.09,학력평가
4298,9,3,중하,3,87%,5%,4%,87%,3%,2%,수학(나),2017.03.09,학력평가
4299,10,1,중하,3,80%,80%,8%,4%,4%,3%,수학(나),2017.03.09,학력평가
4300,11,1,중하,3,85%,85%,5%,5%,4%,2%,수학(나),2017.03.09,학력평가
4301,12,2,중,3,79%,6%,79%,7%,5%,2%,수학(나),2017.03.09,학력평가
4302,13,4,중,3,78%,5%,7%,6%,78%,4%,수학(나),2017.03.09,학력평가
4303,14,4,중,4,69%,10%,10%,7%,69%,4%,수학(나),2017.03.09,학력평가
4304,15,5,중,4,73%,7%,6%,8%,7%,73%,수학(나),2017.03.09,학력평가
4305,16,1,중,4,77%,77%,7%,7%,5%,4%,수학(나),2017.03.09,학력평가
4306,17,1,중,4,64%,64%,13%,11%,8%,5%,수학(나),2017.03.09,학력평가
4307,18,4,중,4,64%,7%,8%,14%,64%,7%,수학(나),2017.03.09,학력평가
4308,19,3,중,4,65%,7%,9%,65%,13%,6%,수학(나),2017.03.09,학력평가
4309,20,2,중상,4,52%,13%,52%,14%,11%,9%,수학(나),2017.03.09,학력평가
4310,21,5,상,4,47%,9%,16%,14%,13%,47%,수학(나),2017.03.09,학력평가
4311,22,48,중,3,77%,23% (주관식),,,,,수학(나),2017.03.09,학력평가
4312,23,14,중하,3,81%,19% (주관식),,,,,수학(나),2017.03.09,학력평가
4313,24,12,중,3,78%,22% (주관식),,,,,수학(나),2017.03.09,학력평가
4314,25,17,중,3,76%,24% (주관식),,,,,수학(나),2017.03.09,학력평가
4315,26,32,중,4,66%,34% (주관식),,,,,수학(나),2017.03.09,학력평가
4316,27,201,중상,4,57%,43% (주관식),,,,,수학(나),2017.03.09,학력평가
4317,28,25,중,4,69%,31% (주관식),,,,,수학(나),2017.03.09,학력평가
4318,29,7,최상,4,29%,71% (주관식),,,,,수학(나),2017.03.09,학력평가
4319,30,62,최상,4,7%,93% (주관식),,,,,수학(나),2017.03.09,학력평가
4320,1,5,하,2,95%,2%,1%,1%,1%,95%,수학(가),2016.11.17,수능
4321,2,2,하,2,96%,2%,96%,1%,1%,0%,수학(가),2016.11.17,수능
4322,3,5,하,2,95%,2%,1%,2%,1%,95%,수학(가),2016.11.17,수능
4323,4,4,하,3,92%,2%,2%,2%,92%,3%,수학(가),2016.11.17,수능
4324,5,3,하,3,95%,2%,2%,95%,1%,1%,수학(가),2016.11.17,수능
4325,6,5,하,3,94%,3%,1%,1%,1%,94%,수학(가),2016.11.17,수능
4326,7,1,하,3,96%,96%,1%,1%,1%,1%,수학(가),2016.11.17,수능
4327,8,1,하,3,95%,95%,1%,2%,1%,1%,수학(가),2016.11.17,수능
4328,9,2,하,3,92%,2%,92%,2%,3%,0%,수학(가),2016.11.17,수능
4329,10,3,하,3,93%,1%,3%,93%,1%,1%,수학(가),2016.11.17,수능
4330,11,4,중하,3,89%,3%,3%,4%,89%,1%,수학(가),2016.11.17,수능
4331,12,4,하,3,93%,2%,2%,2%,93%,1%,수학(가),2016.11.17,수능
4332,13,3,하,3,91%,3%,2%,91%,2%,2%,수학(가),2016.11.17,수능
